Rank,Company,Revenue USD billions,F.Y.,Employees,Market cap. USD billions,Headquarters,Founded,Industry,Refs
96,Sabre Corporation,0.0,2020,7531.0,0.0,Southlake,1994,Travel,[58][59]
97,"Kaplan, Inc.",0.0,2020,5500.0,0.0,"Fort Lauderdale, Florida",1938,Education,0
98,Endurance International Group,0.0,2019,2500.0,0.0,"Burlington, Massachusetts",1998,Internet,[141]
99,GoTo,0.0,2022,5000.0,0.0,Jakarta,2021,"Transportation, Ecommerce",0
100,Exela Technologies,0.0,2020,22000.0,0.0,"Irving, Texas",2017,Automation,0
101,Verisign,0.0,2020,909.0,0.0,Reston,1995,Internet,[142][143]
102,Flexport,0.0,2020,2000.0,0.0,San Francisco,2013,Software freight forwarding,0
103,LogMeIn,0.0,2019,3974.0,0.0,Boston,2003,Software,0
104,Unity Technologies,0.0,2021,5500.0,0.0,San Francisco,2004,Software gaming,0
105,Blue Yonder,0.0,2021,5500.0,0.0,"Scottsdale, Arizona",1985,Software,0
106,Craigslist,0.0,2018,1000.0,0.0,San Francisco,1995,Classifieds,[144]
107,Grab,0.0,2018,6000.0,0.0,Singapore,2012,Transportation,[145]
